Instance,Heuristic,SolverTime,SolverNodes,ArcRevisions,NumSolutions,
9,No heuristic,28.003478949999995,21093,18904,352,
9,Smallest Domain First,43.53456014999999,16197,15450,352,
9,Random,104.3279031,86422,94914,352,
8,No heuristic,4.72610305,5172,4380,92,
8,Smallest Domain First,4.12215825,4080,3686,92,
8,Random,17.25268425,17736,17947,92,
4,No heuristic,0.029265600000000003,48,26,2,
4,Smallest Domain First,0.029652350000000004,48,26,2,
4,Random,0.05181674999999999,77,44,2,
5,No heuristic,0.0980825,159,94,10,
5,Smallest Domain First,0.09826835000000002,159,94,10,
5,Random,0.19830805,284,186,10,
6,No heuristic,0.33673965,390,314,4,
6,Smallest Domain First,0.31924584999999994,354,298,4,
6,Random,0.8342147499999999,953,802,4,
10,No heuristic,91.6748421,83496,82194,724,
10,Smallest Domain First,71.87061405,59232,62884,724,
10,Random,550.5525625499998,458685,548403,724,
7,No heuristic,1.42258885,1389,1092,40,
7,Smallest Domain First,1.16021745,1179,988,40,
7,Random,3.7167243,4018,3658,40,
1,No heuristic,0.0016097500000000005,3,0,1,
1,Smallest Domain First,0.0010653499999999996,3,0,1,
1,Random,0.0016014000000000004,3,0,1,
2,No heuristic,0.006794499999999999,6,2,0,
2,Smallest Domain First,0.00527415,6,2,0,
2,Random,0.006657349999999999,7,2,0,
3,No heuristic,0.0234648,15,7,0,
3,Smallest Domain First,0.02692095,15,7,0,
3,Random,0.018549799999999998,22,10,0,
