Instance,Heuristic,SolverTime,SolverNodes,ArcRevisions,NumSolutions,
9,No heuristic,23.911506449999997,21093,18904,352,
9,Smallest Domain First,20.916770000000007,16197,15450,352,
9,Random,95.68142744999999,88206,97100,352,
8,No heuristic,4.62583371,5172,4380,92,
8,Smallest Domain First,4.078416110000001,4080,3686,92,
8,Random,16.66416606,17643,17839,92,
4,No heuristic,0.027916830000000004,48,26,2,
4,Smallest Domain First,0.028393409999999987,48,26,2,
4,Random,0.049104090000000024,76,44,2,
5,No heuristic,0.09548485000000001,159,94,10,
5,Smallest Domain First,0.09618315999999999,159,94,10,
5,Random,0.21175940000000004,288,188,10,
6,No heuristic,0.34121135,390,314,4,
6,Smallest Domain First,0.32449192999999993,354,298,4,
6,Random,0.8331130600000003,939,789,4,
10,No heuristic,89.09125425999999,83496,82194,724,
10,Smallest Domain First,73.86226236000002,59232,62884,724,
10,Random,548.6367723599998,457029,546526,724,
7,No heuristic,1.1867061,1389,1092,40,
7,Smallest Domain First,1.1364497099999997,1179,988,40,
7,Random,3.8328480000000003,3977,3599,40,
1,No heuristic,0.00156024,3,0,1,
1,Smallest Domain First,0.00148768,3,0,1,
1,Random,0.0012945500000000004,3,0,1,
2,No heuristic,0.0053597600000000025,6,2,0,
2,Smallest Domain First,0.0056082200000000006,6,2,0,
2,Random,0.00556787,7,2,0,
3,No heuristic,0.017651519999999993,15,7,0,
3,Smallest Domain First,0.016294860000000005,15,7,0,
3,Random,0.01701023,21,10,0,
