Instance,Heuristic,SolverTime,SolverNodes,ArcRevisions,NumSolutions,
24,No heuristic,4.997243920000001,164,1280,2,
24,Static Descending,3.3963232000000003,85,829,2,
24,Smallest Domain First,5.051456020000001,164,1280,2,
24,Largest Domain First,29.136394359999993,2441,32175,2,
24,Odd even,4.2185185600000015,373,4779,2,
24,Largest value first,1.5563195800000003,164,1280,2,
24,Maximum Degree,0.99024928,85,829,2,
24,Minimum degree,1.5208627399999997,164,1280,2,
24,Random static,1.5322974600000003,129,1423,2,
24,Random,7.297702920000001,580,7963,2,
24,Random variable,7.969129660000001,690,9070,2,
24,Random value,1.5546188200000008,164,1280,2,
23,No heuristic,0.37071071999999994,40,229,2,
23,Static Descending,0.24720965999999997,24,183,2,
23,Smallest Domain First,0.26233310000000004,40,229,2,
23,Largest Domain First,1.7243784799999995,255,2290,2,
23,Odd even,0.43215016000000006,65,511,2,
23,Largest value first,0.24697832000000003,40,229,2,
23,Maximum Degree,0.19920141999999996,24,183,2,
23,Minimum degree,0.23560924000000003,40,229,2,
23,Random static,0.2554895200000001,31,278,2,
23,Random,0.81464994,96,923,2,
23,Random variable,0.8718562799999999,109,1018,2,
23,Random value,0.26542952,40,229,2,
