Instance,Heuristic,SolverTime,SolverNodes,ArcRevisions,NumSolutions,
9,No heuristic,46.910508840000006,7031,34437,352,
9,Static Descending,37.3428412,7031,35429,352,
9,Smallest Domain First,28.26950934,5399,25041,352,
9,Largest Domain First,991.69354858,175974,1241911,352,
9,Odd even,43.11827728,8663,47747,352,
9,Largest value first,27.54724516,5399,25041,352,
9,Maximum Degree,31.17892507999999,6377,32621,352,
9,Minimum degree,62.54760721999998,11777,68696,352,
9,Random static,53.674635,9319,55571,352,
9,Random static,38.531596,6933,39877,352,
9,Random static,46.075408,9039,51550,352,
9,Random static,38.869312,7973,38931,352,
9,Random static,37.909523,7739,39623,352,
9,Random static,43.552523,8273,47363,352,
9,Random static,39.268502,7621,42035,352,
9,Random static,33.576615,6739,34601,352,
9,Random static,51.345801,9481,55952,352,
9,Random static,37.938457,7017,39555,352,
9,Random static,56.494835,10609,63023,352,
9,Random static,44.39104,8243,46249,352,
9,Random static,40.992328,8045,44491,352,
9,Random static,43.844007,8489,45285,352,
9,Random static,42.275497,8661,45941,352,
9,Random static,49.43678,9641,54405,352,
9,Random static,43.516583,8705,49795,352,
9,Random static,37.398851,7287,38416,352,
9,Random static,52.849856,10395,59210,352,
9,Random static,45.208217,8733,49395,352,
9,Random static,36.366608,7261,38837,352,
9,Random static,52.564473,9913,58789,352,
9,Random static,45.64987,8665,49237,352,
9,Random static,57.523172,11357,65886,352,
9,Random static,42.63011,8307,47463,352,
9,Random static,40.658277,8107,42894,352,
9,Random static,36.442208,7013,37237,352,
9,Random static,47.32727,8919,52081,352,
9,Random static,46.264304,8515,49961,352,
9,Random static,43.623159,8357,45512,352,
9,Random static,53.31375,10083,57316,352,
9,Random static,40.652297,8003,45036,352,
9,Random static,37.859377,7519,40125,352,
9,Random static,53.116524,10027,58627,352,
9,Random static,46.50074,8641,49674,352,
9,Random static,37.311538,7551,39703,352,
9,Random static,38.114131,7513,40121,352,
9,Random static,43.691159,8369,47422,352,
9,Random static,40.473926,7797,42535,352,
9,Random static,42.657093,8601,44537,352,
9,Random static,36.868016,7097,38247,352,
9,Random static,37.599513,6893,39577,352,
9,Random static,40.75388,8211,43469,352,
9,Random static,39.483907,7265,38345,352,
9,Random static,44.411746,8657,48833,352,
9,Random static,41.465154,8137,43499,352,
9,Random static,39.821216,8017,41199,352,
9,Random static,41.480265,8245,45193,352,
9,Random static,50.049365,8753,53580,352,
9,Random static,56.663494,10487,61516,352,
9,Random,201.97829224,29045,235389,352,
9,Random variable,332.45822518,48410,384829,352,
9,Random value,36.3399421,7031,34437,352,
8,No heuristic,8.803486499999996,1724,7992,92,
8,Static Descending,8.295155660000002,1724,8162,92,
8,Smallest Domain First,6.62133952,1360,6168,92,
8,Largest Domain First,137.14179765999998,27138,178831,92,
8,Odd even,10.098816899999996,2132,11472,92,
8,Largest value first,6.600879900000001,1360,6168,92,
8,Maximum Degree,7.508772899999998,1612,7666,92,
8,Minimum degree,13.324390580000005,2592,14644,92,
8,Random static,8.846014,1836,9524,92,
8,Random static,9.741262,2096,11102,92,
8,Random static,12.183186,2380,13004,92,
8,Random static,10.186267,2066,10406,92,
8,Random static,11.433849,2456,13092,92,
8,Random static,8.849642,1968,9784,92,
8,Random static,9.294241,1928,10434,92,
8,Random static,8.302073,1782,9514,92,
8,Random static,10.196379,2152,11632,92,
8,Random static,10.524637,2192,11532,92,
