Instance,Heuristic,SolverTime,SolverNodes,ArcRevisions,NumSolutions,
9,No heuristic,255.040788,7031,34437,352,
9,Smallest Domain First,92.895415,5399,25041,352,
9,Largest value first,103.038734,5399,25041,352,
8,No heuristic,33.625588,1724,7992,92,
8,Smallest Domain First,26.404148,1360,6168,92,
8,Largest value first,26.209573,1360,6168,92,
12,No heuristic,6967.577767,641974,3778944,14200,
12,Smallest Domain First,4407.792294,416828,2215418,14200,
12,Largest value first,4609.069381,416828,2215418,14200,
4,No heuristic,0.101498,16,48,2,
4,Smallest Domain First,0.071137,16,48,2,
4,Largest value first,0.068131,16,48,2,
5,No heuristic,0.280563,53,165,10,
5,Smallest Domain First,0.235972,53,165,10,
5,Largest value first,0.234757,53,165,10,
6,No heuristic,0.829273,130,555,4,
6,Smallest Domain First,0.722199,118,525,4,
6,Largest value first,0.724587,118,525,4,
10,No heuristic,260.745251,27832,151723,724,
10,Smallest Domain First,171.072824,19744,100783,724,
10,Largest value first,172.078585,19744,100783,724,
7,No heuristic,3.644121,463,1984,40,
7,Smallest Domain First,3.713759,393,1696,40,
7,Largest value first,3.024692,393,1696,40,
11,No heuristic,1358.307865,127441,728332,2680,
11,Smallest Domain First,873.655601,85939,451044,2680,
11,Largest value first,861.503857,85939,451044,2680,
1,No heuristic,0.00913,1,0,1,
1,Smallest Domain First,0.003207,1,0,1,
1,Largest value first,0.00285,1,0,1,
2,No heuristic,0.179423,2,3,0,
2,Smallest Domain First,0.04139,2,3,0,
2,Largest value first,0.01233,2,3,0,
3,No heuristic,0.130704,5,13,0,
3,Smallest Domain First,0.084031,5,13,0,
3,Largest value first,0.06525,5,13,0,
